Date,CNR,BB,MFC,XIT,XUT,XMA,XCG,XCS,XDV,XIN,XSP,XLB,XSB,XCB
2013-02-13,0.005445139,-0.085522173,-0.012414364,-0.027895793,0.00430307,-0.011186638,0,-0.003979021,0.001792097,0.003169836,0.00115285,-0.003961775,0.000346794,-0.00093908
2013-02-14,-0.001106749,0.072320662,0.010464258,0.002824871,-0.007663392,0.002365348,-0.000880307,-0.006666469,-0.003138067,-0.003169836,0.00115139,0.004401177,-0.000346794,0.000470052
2013-02-15,0.012605152,-0.056025579,0.018206208,-0.008498667,-0.005302205,-0.022096931,0,-0.008059232,-0.000449131,-0.001588555,-0.001727616,-0.001758251,0.001040383,0
2013-02-19,0.00900597,0.023612208,0.000644117,0.011315582,0.009620374,-0.001813231,-0.000439938,0.00202073,0.01338729,0.012114829,0.008608256,0,0.000692658,0.000938372
2013-02-20,-0.008707777,-0.043485112,-0.022136122,-0.012739075,-0.003837194,-0.035717847,-0.001321788,-0.020394552,-0.004888323,-0.003146017,-0.012651094,0.000439529,0,0
2013-02-21,-0.004781774,0.012820688,-0.011920872,-0.005714323,0.013030952,0.00500275,-0.013762776,-0.004819452,-0.004120325,-0.012685515,-0.006968479,0.00233596,-0.000104071,-0.000188728
2013-02-22,-0.000999286,-0.047093091,0.009284009,-0.010079187,0.006641039,-0.002497968,0.003569871,0.007562623,0.004925196,0.013735356,0.009280711,0.005705608,0.001388246,0.00375574
2013-02-25,-0.001400191,0,-0.020674315,0.005772044,-0.006641039,0.011193831,0.015031011,0.003418812,-0.00537405,-0.023892853,-0.018060547,0.006107677,0.001731951,0.002340801
2013-02-26,0.008174708,-0.001484781,0.004034835,-0.010122914,-0.001428831,0.009846428,-0.011917794,-0.002734034,0,0.011220802,0.006446019,0.000435272,0,0.001867987
2013-02-27,0.009486015,0.008875798,0.019276343,0.008683285,0.002855836,-0.003680836,0,-0.004115079,0.008049967,0.010571197,0.013345133,0.002605431,0.000345779,0.000466618
2013-02-28,0.028886256,0.029029615,0.007215143,0.01572564,-0.001902676,-0.007403189,0.011917794,0.005483307,0.002668426,0.002100854,-0.002308163,-0.000867702,0.000691917,0.001398218
2013-03-01,-0.007576357,-0.025354491,-0.004585723,-0.005690066,-0.009089975,-0.009956234,0,-0.004796178,-0.00222268,0.004188445,0.002884389,0.00605816,0.0013824,0.00046555
2013-03-04,0.016233526,-0.036612233,-0.001971212,-0.002857026,-0.002887016,-0.024051966,-0.003956449,-0.014528117,0.001334649,0.002608821,0.005743872,0.000430438,-0.001036576,0.001395352
2013-03-05,-0.009268115,-0.018433702,0.009819956,-0.001431775,-0.008712995,-0.000640913,0.002200038,0.001392598,0.002220277,0.006233893,0.008554646,-0.001293836,-0.000345824,-0.00046457
2013-03-06,-0.002210422,0.071057921,0.002602148,0.024063406,0.003397892,0.03341019,0,0.013135519,0,0.009278239,0.001702065,-0.003460111,0.001036576,-0.000464985
2013-03-07,-0.005595725,-0.020423759,0.00129859,-0.004204393,-0.000969214,-0.006843181,0.008752619,0.004796178,-0.000443535,0.000513173,0.002264771,-0.005212686,-0.000690752,-0.002796183
2013-03-08,0.000193226,-0.010370463,0.006468572,-0.005633967,-0.004374872,0.005602237,0,0.001365806,-0.001776742,0.010204166,0.003950968,-0.004365797,-0.001037741,-0.000933425
2013-03-11,-0.002906289,0.129708009,0.00898586,0.031969487,0.006796365,0,0,-0.002049726,0.004878482,0.000507306,0.00337504,-0.000874975,-0.000345779,-0.000934563
2013-03-12,0.000194382,-0.030546864,-0.009631008,-0.008241961,-0.002421493,0.017841192,0.002176449,0.005456889,-0.001770746,-0.004067205,-0.002248415,0.002187064,0.001037697,0.002334605
2013-03-13,-0.00573911,0.078433509,-0.006472257,0.00687303,-0.011708176,-0.019704843,0,-0.004772969,-0.008905508,0,0.001686818,0,-0.000345764,-0.000933122
2013-03-14,0.005641714,-0.035536797,0.00194624,0.00954327,-0.003440067,0,-0.003484305,0.008846379,0.003126129,0.005587979,0.005043448,-0.002624935,0,-0.000466921
